Operacao,Estrutura,k,Esparsidade,Tempo_ns,Memoria_Bytes
ESCALAR,Tree,41,1.025e-07,1240,0
SET,Hash,41,1.025e-07,11680,646864
SET,Tree,41,1.025e-07,25887,11808
GET,Hash,41,1.025e-07,1675,0
GET,Tree,41,1.025e-07,5101,0
SOMA,Hash,42,1.05e-07,297282,654400
SOMA,Tree,42,1.05e-07,59335,24192
MULT,Hash,42,1.05e-07,220640,640000
MULT,Tree,42,1.05e-07,5703,0
TRANS,Hash,42,1.05e-07,21,0
TRANS,Tree,42,1.05e-07,29,0
ESCALAR,Hash,42,1.05e-07,50064,0
ESCALAR,Tree,42,1.05e-07,1336,0
SET,Hash,42,1.05e-07,12132,646992
SET,Tree,42,1.05e-07,26822,12096
GET,Hash,42,1.05e-07,1705,0
GET,Tree,42,1.05e-07,5274,0
SOMA,Hash,43,1.075e-07,299328,654656
SOMA,Tree,43,1.075e-07,61646,24768
MULT,Hash,43,1.075e-07,220617,640000
MULT,Tree,43,1.075e-07,6069,0
TRANS,Hash,43,1.075e-07,20,0
TRANS,Tree,43,1.075e-07,22,0
ESCALAR,Hash,43,1.075e-07,50024,0
ESCALAR,Tree,43,1.075e-07,1339,0
SET,Hash,43,1.075e-07,12821,647120
SET,Tree,43,1.075e-07,27579,12384
GET,Hash,43,1.075e-07,1812,0
GET,Tree,43,1.075e-07,5427,0
SOMA,Hash,44,1.1e-07,296810,654912
SOMA,Tree,44,1.1e-07,62143,25344
MULT,Hash,44,1.1e-07,222253,640000
MULT,Tree,44,1.1e-07,5943,0
TRANS,Hash,44,1.1e-07,20,0
TRANS,Tree,44,1.1e-07,24,0
ESCALAR,Hash,44,1.1e-07,50167,0
ESCALAR,Tree,44,1.1e-07,1476,0
SET,Hash,44,1.1e-07,12410,647248
SET,Tree,44,1.1e-07,27625,12584
GET,Hash,44,1.1e-07,1655,0
GET,Tree,44,1.1e-07,5577,0
SOMA,Hash,45,1.125e-07,298539,655168
SOMA,Tree,45,1.125e-07,62681,25832
MULT,Hash,45,1.125e-07,220868,640000
MULT,Tree,45,1.125e-07,6051,0
TRANS,Hash,45,1.125e-07,20,0
TRANS,Tree,45,1.125e-07,22,0
ESCALAR,Hash,45,1.125e-07,50004,0
ESCALAR,Tree,45,1.125e-07,1424,0
SET,Hash,45,1.125e-07,12606,647376
SET,Tree,45,1.125e-07,28717,12960
GET,Hash,45,1.125e-07,1852,0
GET,Tree,45,1.125e-07,5737,0
SOMA,Hash,46,1.15e-07,300994,655424
SOMA,Tree,46,1.15e-07,66290,26496
MULT,Hash,46,1.15e-07,221374,640000
MULT,Tree,46,1.15e-07,6425,0
TRANS,Hash,46,1.15e-07,27,0
TRANS,Tree,46,1.15e-07,25,0
ESCALAR,Hash,46,1.15e-07,50041,0
ESCALAR,Tree,46,1.15e-07,1397,0
SET,Hash,46,1.15e-07,13235,647504
SET,Tree,46,1.15e-07,29865,13248
GET,Hash,46,1.15e-07,1708,0
GET,Tree,46,1.15e-07,5959,0
SOMA,Hash,47,1.175e-07,302748,655680
SOMA,Tree,47,1.175e-07,67647,26984
MULT,Hash,47,1.175e-07,220937,640000
MULT,Tree,47,1.175e-07,6412,0
TRANS,Hash,47,1.175e-07,27,0
TRANS,Tree,47,1.175e-07,27,0
ESCALAR,Hash,47,1.175e-07,50034,0
ESCALAR,Tree,47,1.175e-07,1367,0
SET,Hash,47,1.175e-07,13798,647632
SET,Tree,47,1.175e-07,30219,13536
GET,Hash,47,1.175e-07,1995,0
GET,Tree,47,1.175e-07,6070,0
SOMA,Hash,48,1.2e-07,299279,655936
SOMA,Tree,48,1.2e-07,66748,27472
MULT,Hash,48,1.2e-07,220741,640000
MULT,Tree,48,1.2e-07,6413,0
TRANS,Hash,48,1.2e-07,27,0
TRANS,Tree,48,1.2e-07,25,0
ESCALAR,Hash,48,1.2e-07,50074,0
ESCALAR,Tree,48,1.2e-07,1518,0
SET,Hash,48,1.2e-07,13988,647760
SET,Tree,48,1.2e-07,32098,13824
GET,Hash,48,1.2e-07,1836,0
GET,Tree,48,1.2e-07,6323,0
SOMA,Hash,49,1.225e-07,300618,656192
SOMA,Tree,49,1.225e-07,69705,28048
MULT,Hash,49,1.225e-07,221588,640000
MULT,Tree,49,1.225e-07,6884,0
TRANS,Hash,49,1.225e-07,20,0
TRANS,Tree,49,1.225e-07,28,0
ESCALAR,Hash,49,1.225e-07,50063,0
ESCALAR,Tree,49,1.225e-07,1522,0
SET,Hash,49,1.225e-07,14271,647888
SET,Tree,49,1.225e-07,31180,14112
GET,Hash,49,1.225e-07,2071,0
GET,Tree,49,1.225e-07,6332,0
SOMA,Hash,50,1.25e-07,299770,656448
SOMA,Tree,50,1.25e-07,69926,28800
MULT,Hash,50,1.25e-07,223667,640000
MULT,Tree,50,1.25e-07,6688,0
TRANS,Hash,50,1.25e-07,19,0
TRANS,Tree,50,1.25e-07,26,0
ESCALAR,Hash,50,1.25e-07,50128,0
ESCALAR,Tree,50,1.25e-07,1593,0
SET,Hash,50,1.25e-07,14140,648016
SET,Tree,50,1.25e-07,32709,14400
GET,Hash,50,1.25e-07,2320,0
GET,Tree,50,1.25e-07,6836,0
SOMA,Hash,51,1.275e-07,301254,656704
SOMA,Tree,51,1.275e-07,72204,29288
MULT,Hash,51,1.275e-07,224215,640000
MULT,Tree,51,1.275e-07,7135,0
TRANS,Hash,51,1.275e-07,19,0
TRANS,Tree,51,1.275e-07,28,0
ESCALAR,Hash,51,1.275e-07,50378,0
ESCALAR,Tree,51,1.275e-07,1630,0
SET,Hash,51,1.275e-07,14961,648144
SET,Tree,51,1.275e-07,34542,14688
GET,Hash,51,1.275e-07,2201,0
GET,Tree,51,1.275e-07,6902,0
SOMA,Hash,52,1.3e-07,306996,656960
SOMA,Tree,52,1.3e-07,75207,29864
MULT,Hash,52,1.3e-07,221207,640000
MULT,Tree,52,1.3e-07,7084,0
TRANS,Hash,52,1.3e-07,20,0
TRANS,Tree,52,1.3e-07,28,0
ESCALAR,Hash,52,1.3e-07,49983,0
ESCALAR,Tree,52,1.3e-07,1572,0
SET,Hash,52,1.3e-07,14721,648272
